"BLG_UNIT_TYPE_ABBREVIATION","BLG_UNIT_TYPE","DESCRIPTION","UFI","UFI_CREATED"
"APT","APARTMENT","Apartment",10000021,20080228
"ATM","AUTO TELLER MACHINE","Auto Teller Machine",10000022,20080228
"CTGE","COTTAGE","Cottage",10000023,20080228
"DUPL","DUPLEX","Duplex",10014928,20080523
"FCTY","FACTORY","Factory",10014929,20080523
"FLAT","FLAT","Flat",10014930,20080523
"HSE","HOUSE","House",10000027,20080228
"KSK","KIOSK","Kiosk",10000028,20080228
"MSNT","MAISONETTE","Maisonette",10000029,20080228
"MBTH","MARINE BERTH","Marine Berth",10014937,20080523
"OFFC","OFFICE","Office",10014938,20080523
"PTHS","PENTHOUSE","Penthouse",10000032,20080228
"ROOM","ROOM","Room",10014942,20080523
"SHED","SHED","Shed",10000034,20080228
"SHOP","SHOP","Shop",10000035,20080228
"SITE","SITE","Site",10000036,20080228
"STLL","STALL","Stall",10014946,20080523
"STU","STUDIO","Studio",10000038,20080228
"SE","SUITE","Suite",10000039,20080228
"TNHS","TOWNHOUSE","Townhouse",10000040,20080228
"UNIT","UNIT","Unit",10014947,20080523
"VLLA","VILLA","Villa",10000042,20080228
"WARD","WARD","Ward",10000043,20080228
"WHSE","WAREHOUSE","Warehouse",10014948,20080523
"ANT","ANTENNA","Antenna",10000045,20080228
"BBQ","BARBEQUE","Barbeque",10000046,20080228
"BLDG","BUILDING","Building",10000047,20080228
"BTSD","BOATSHED","Boatshed",10000048,20080228
"CAGE","CAGE","Cage",10000049,20080228
"CARP","CARPARK","Carpark",10000050,20080228
"CARS","CARSPACE","Carspace",10000051,20080228
"CLUB","CLUB","Club",10000052,20080228
"GRGE","GARAGE","Garage",10000053,20080228
"HALL","HALL","Hall",10000054,20080228
"LOT","LOT","Lot",10000055,20080228
"RESV","RESERVE","Reserve",10000056,20080228
"SHRM","SHOWROOM","Showroom",10000057,20080228
"SIGN","SIGN","Sign",10000058,20080228
"STOR","STORE","Store",10000059,20080228
"STR","STRATA UNIT","Strata_unit",10014945,20080523
"SUBS","SUBSTATION","Substation",10000061,20080228
"TNCY","TENANCY","Tenancy",10000062,20080228
"TWR","TOWER","Tower",10000063,20080228
"VLT","VAULT","Vault",10000064,20080228
"WKSH","WORKSHOP","Workshop",10000065,20080228
"BBOX","BATHING BOX","Bathing Box",10014923,20080523
"BERT","BERTH","Berth",10014924,20080523
"BNGW","BUNGALOW","Bungalow",10014925,20080523
"COOL","COOLROOM","Coolroom",10014926,20080523
"CTYD","COURTYARD","Courtyard",10014927,20080523
"HELI","HELIPORT","Heliport",10014932,20080523
"HOST","HOSTEL","Hostel",10014933,20080523
"LSE","LEASE","Lease",10014934,20080523
"LBBY","LOBBY","Lobby",10014935,20080523
"LOFT","LOFT","Loft",10014936,20080523
"PSWY","PASSAGEWAY","Passageway",10014939,20080523
"RPTN","RECEPTION","Reception",10014940,20080523
"REST","RESTAURANT","Restaraunt",10014941,20080523
"SHCS","SHOWCASE","Showcase",10014943,20080523
"SAPT","STUDIO APARTMENT","Studio Apartment",10014944,20080523
"CARW","CARWASH","Carwash",10016927,20090105
"HNGR","HANGAR","Hanger",10029296,20100625
"WC","TOILET","Toilet",10029297,20100625
"JETY","JETTY","Jetty",10029298,20100625
"GATE","GATE","Gate",10066034,20110517
