"LGA_CODE","CLASS_CODE","LGA","GAZETTED_LGA_NAME","STATUS","DOI_LGA","VICGOV_REGION_CODE","DSE_REGION_CODE","UFI","UFI_CREATED"
"300","S","ALPINE","ALPINE SHIRE","ACTIVE","ALPINE","14","4",10199220,20130809
"301","RC","ARARAT","ARARAT RURAL CITY","ACTIVE","ARARAT","13","5",10199314,20130809
"302","C","BALLARAT","BALLARAT CITY","ACTIVE","BALLARAT","13","5",10199320,20130809
"303","C","BANYULE","BANYULE CITY","ACTIVE","BANYULE","16","3",10199223,20130809
"304","S","BASS COAST","BASS COAST SHIRE","ACTIVE","BASS COAST","12","2",10199224,20130809
"305","S","BAW BAW","BAW BAW SHIRE","ACTIVE","BAW BAW","12","2",10199225,20130809
"306","C","BAYSIDE","BAYSIDE CITY","ACTIVE","BAYSIDE","17","3",10199226,20130809
"307","C","BOROONDARA","BOROONDARA CITY","ACTIVE","BOROONDARA","11","3",10199227,20130809
"308","C","BRIMBANK","BRIMBANK CITY","ACTIVE","BRIMBANK","16","3",10199228,20130809
"309","S","BULOKE","BULOKE SHIRE","ACTIVE","BULOKE","15","6",10199229,20130809
"310","S","CAMPASPE","CAMPASPE SHIRE","ACTIVE","CAMPASPE","15","6",10199230,20130809
"311","S","CARDINIA","CARDINIA SHIRE","ACTIVE","CARDINIA","17","3",10199231,20130809
"312","C","CASEY","CASEY CITY","ACTIVE","CASEY","17","3",10199232,20130809
"313","S","CENTRAL GOLDFIELDS","CENTRAL GOLDFIELDS SHIRE","ACTIVE","CENTRAL GOLDFIELDS","15","6",10199233,20130809
"314","S","COLAC OTWAY","COLAC OTWAY SHIRE","ACTIVE","COLAC OTWAY","10","5",10199234,20130809
"315","S","CORANGAMITE","CORANGAMITE SHIRE","ACTIVE","CORANGAMITE","10","5",10199235,20130809
"316","C","DAREBIN","DAREBIN CITY","ACTIVE","DAREBIN","16","3",10199236,20130809
"319","S","EAST GIPPSLAND","EAST GIPPSLAND SHIRE","ACTIVE","EAST GIPPSLAND","12","2",10199237,20130809
"320","C","FRANKSTON","FRANKSTON CITY","ACTIVE","FRANKSTON","17","3",10199238,20130809
"321","S","GANNAWARRA","GANNAWARRA SHIRE","ACTIVE","GANNAWARRA","15","6",10199239,20130809
