"ROAD_TYPE","ROAD_TYPE_ABBREVIATION","GNR_APPROVED","UFI","UFI_CREATED"
"ALLEY","ALLY","Y",10151321,20121003
"ARCADE","ARC","Y",10151360,20121003
"AVENUE","AV","Y",10151334,20121003
"BAY","BAY","N",10151378,20121004
"BEND","BEND","N",10151379,20121004
"BOULEVARD","BVD","Y",10151335,20121003
"BOWL","BOWL","N",10151380,20121004
"BRAE","BRAE","N",10151381,20121004
"BREAK","BRK","Y",10151336,20121003
"BYPASS","BYPA","Y",10151337,20121003
"CHASE","CH","Y",10151322,20121003
"CIRCLE","CIR","N",10151382,20121004
"CIRCUIT","CCT","Y",10151338,20121003
"CLOSE","CL","Y",10151315,20121003
"CONCOURSE","CON","Y",10151339,20121003
"COURSE","CRSE","N",10151383,20121004
"COURT","CT","Y",10151316,20121003
"COVE","COVE","N",10151384,20121004
"CRESCENT","CR","Y",10151340,20121003
"CREST","CRST","Y",10151323,20121003
"CROSS","CRSS","N",10151385,20121004
"DALE","DALE","N",10151386,20121004
"DELL","DELL","N",10151387,20121004
"DIVIDE","DIV","N",10151388,20121004
"DRIVE","DR","Y",10151341,20121003
"EDGE","EDGE","N",10151389,20121004
"ESPLANADE","ESP","Y",10151343,20121003
"FIRELINE","FLNE","N",10151390,20121004
"DASH","DASH","N",10151391,20121004
"FORD","FORD","N",10151392,20121004
"FREEWAY","FWY","Y",10151345,20121003
"GARDENS","GDNS","N",10151393,20121004
"GATE","GTE","N",10151394,20121004
"GATEWAY","GTWY","N",10151395,20121004
"GLADE","GLDE","Y",10151324,20121003
"GLEN","GLEN","N",10151396,20121004
"GRANGE","GRA","Y",10151346,20121003
"GREEN","GRN","N",10151397,20121004
"GROVE","GR","Y",10151325,20121003
"HEATH","HTH","N",10151398,20121004
"HEIGHTS","HTS","N",10151399,20121004
"HIGHWAY","HWY","Y",10151347,20121003
"HILL","HILL","N",10151400,20121004
"HUB","HUB","N",10151401,20121004
"JUNCTION","JNC","N",10151402,20121004
"LANE","LANE","Y",10151326,20121003
"LINK","LINK","N",10151403,20121004
"MALL","MALL","Y",10151362,20121003
"MEWS","MEWS","Y",10151368,20121003
"NOOK","NOOK","N",10151404,20121004
"OUTLOOK","OTLK","N",10151405,20121004
"PARADE","PDE","Y",10151375,20121004
"PARKWAY","PWY","Y",10151374,20121004
"PASS","PASS","N",10151406,20121004
"PATH","PATH","Y",10151363,20121003
"PLACE","PL","Y",10151318,20121003
"PLAZA","PLZA","Y",10151319,20121003
"POCKET","PKT","N",10151407,20121004
"POINT","PNT","N",10151408,20121004
"PURSUIT","PRST","N",10151410,20121004
"QUADRANT","QDRT","N",10151411,20121004
"QUAY","QY","N",10151412,20121004
"REACH","RCH","N",10151413,20121004
"RETREAT","RTT","Y",10151320,20121003
"RETURN","RTN","N",10151414,20121004
"RIDE","RIDE","N",10151415,20121004
"RIDGE","RDGE","Y",10151353,20121003
"RISE","RISE","Y",10151327,20121003
"RISING","RSNG","N",10151416,20121004
"ROUND","RND","N",10151417,20121004
"ROW","ROW","N",10151418,20121004
"RUN","RUN","N",10151419,20121004
"SLOPE","SLPE","N",10151420,20121004
"SQUARE","SQ","Y",10151328,20121003
"STREET","ST","Y",10151354,20121003
"STRIP","STRP","N",10151421,20121004
"TERRACE","TCE","Y",10151329,20121003
"THROUGHWAY","THRU","N",10151422,20121004
"TRACK","TRK","Y",10151356,20121003
"TRAIL","TRL","Y",10151357,20121003
"TURN","TURN","N",10151423,20121004
"VALLEY","VLLY","N",10151424,20121004
"VIEW","VIEW","Y",10151330,20121003
"VIEWS","VEWS","N",10151425,20121004
"VISTA","VSTA","Y",10151331,20121003
"WALK","WALK","Y",10151371,20121003
"WATERS","WTRS","N",10151426,20121004
"WAY","WAY","Y",10151359,20121003
"WOODS","WDS","N",10151427,20121004
"ACCESS","ACCS","N",10151428,20121004
"AMBLE","AMBL","N",10151429,20121004
"COMMON","CMMN","N",10151430,20121004
"CONNECTION","CNTN","N",10151431,20121004
"CUTTING","CUTT","N",10151432,20121004
"GULLY","GLY","N",10151433,20121004
"HOLLOW","HLLW","N",10151434,20121004
"ISLAND","ISLD","N",10151435,20121004
"REST","REST","N",10151436,20121004
"APPROACH","APP","Y",10151333,20121003
"BOARDWALK","BWLK","Y",10151361,20121003
"BRIDGE","BDGE","N",10151437,20121004
"CENTRE","CTR","N",10151439,20121004
"CENTREWAY","CNWY","N",10151440,20121004
"CIRCUS","CRCS","N",10151441,20121004
"CLUSTER","CLR","N",10151442,20121004
"CORNER","CNR","N",10151443,20121004
"CROSSING","CRSG","N",10151444,20121004
"DEVIATION","DEVN","N",10151445,20121004
"CRUISEWAY","CUWY","N",10151446,20121004
"DIP","DIP","N",10151447,20121004
"ELBOW","ELB","N",10151448,20121004
"END","END","N",10151449,20121004
"ENTRANCE","ENT","Y",10151342,20121003
"EXTENSION","EXTN","N",10151450,20121004
"FAIRWAY","FAWY","N",10151451,20121004
"INTERSECTI","INTN","Y",10151349,20121003
"KEY","KEY","N",10151452,20121004
"LANDING","LDG","N",10151453,20121004
"LANEWAY","LNWY","N",10151454,20121004
"LINE","LINE","N",10151455,20121004
"LOOP","LOOP","Y",10151369,20121003
"PATHWAY","PWAY","N",10151456,20121004
"PASSAGE","PSGE","Y",10151364,20121003
"PARK","PARK","N",10151457,20121004
"QUAYS","QYS","Y",10151351,20121003
"RAMP","RAMP","Y",10151352,20121003
"RESERVE","RES","N",10151458,20121004
"ROUTE","RTE","N",10151459,20121004
"ROAD","RD","Y",10151370,20121003
"SUBWAY","SBWY","Y",10151366,20121003
"STEPS","STPS","Y",10151365,20121003
"WYND","WYND","N",10151460,20121004
"SPUR","SPUR","N",10151461,20121004
"WOOD","WD","N",10151462,20121004
"WHARF","WHRF","Y",10151332,20121003
"WALKWAY","WKWY","N",10151463,20121004
"VALE","VALE","N",10151464,20121004
"UNDERPASS","UPAS","Y",10151358,20121003
"TUNNEL","TUNL","N",10151465,20121004
"TOP","TOP","N",10151466,20121004
"TOLLWAY","TLWY","Y",10151355,20121003
"DOMAIN","DOM","N",10151467,20121004
"DENE","DENE","N",10151468,20121004
"BOULEVARDE","BVDE","N",10151469,20121004
"KEYS","KEYS","N",10151470,20121004
"OUTLET","OTLT","N",10151471,20121004
"FORK","FORK","N",10151472,20121004
"MANOR","MAN","N",10151473,20121004
"FIRETRAIL","FTRL","Y",10151344,20121003
"CROOK","CRK","N",10151474,20121004
"FIREBREAK","FBRK","N",10151475,20121004
"FLATS","FLTS","N",10151476,20121004
"TWIST","TWST","N",10151477,20121004
"TRAVERSE","TVRS","N",10151478,20121004
"ARTERIAL","ARTL","N",10151479,20121004
"MAZE","MAZE","N",10151480,20121004
"CAUSEWAY","CSWY","Y",10151376,20121004
"PROMENADE","PROM","Y",10151377,20121004
