BLG_UNIT_TYPE_ABBREVIATION,BLG_UNIT_TYPE,DESCRIPTION,UFI,UFI_CREATED
APT,APARTMENT,Apartment,10000021,2008/02/28
ATM,AUTO TELLER MACHINE,Auto Teller Machine,10000022,2008/02/28
CTGE,COTTAGE,Cottage,10000023,2008/02/28
DUPL,DUPLEX,Duplex,10014928,2008/05/23
FCTY,FACTORY,Factory,10014929,2008/05/23
FLAT,FLAT,Flat,10014930,2008/05/23
HSE,HOUSE,House,10000027,2008/02/28
KSK,KIOSK,Kiosk,10000028,2008/02/28
MSNT,MAISONETTE,Maisonette,10000029,2008/02/28
MBTH,MARINE BERTH,Marine Berth,10014937,2008/05/23
OFFC,OFFICE,Office,10014938,2008/05/23
PTHS,PENTHOUSE,Penthouse,10000032,2008/02/28
ROOM,ROOM,Room,10014942,2008/05/23
SHED,SHED,Shed,10000034,2008/02/28
SHOP,SHOP,Shop,10000035,2008/02/28
SITE,SITE,Site,10000036,2008/02/28
STLL,STALL,Stall,10014946,2008/05/23
STU,STUDIO,Studio,10000038,2008/02/28
SE,SUITE,Suite,10000039,2008/02/28
TNHS,TOWNHOUSE,Townhouse,10000040,2008/02/28
UNIT,UNIT,Unit,10014947,2008/05/23
VLLA,VILLA,Villa,10000042,2008/02/28
WARD,WARD,Ward,10000043,2008/02/28
WHSE,WAREHOUSE,Warehouse,10014948,2008/05/23
ANT,ANTENNA,Antenna,10000045,2008/02/28
BBQ,BARBEQUE,Barbeque,10000046,2008/02/28
BLDG,BUILDING,Building,10000047,2008/02/28
BTSD,BOATSHED,Boatshed,10000048,2008/02/28
CAGE,CAGE,Cage,10000049,2008/02/28
CARP,CARPARK,Carpark,10000050,2008/02/28
CARS,CARSPACE,Carspace,10000051,2008/02/28
CLUB,CLUB,Club,10000052,2008/02/28
GRGE,GARAGE,Garage,10000053,2008/02/28
HALL,HALL,Hall,10000054,2008/02/28
LOT,LOT,Lot,10000055,2008/02/28
RESV,RESERVE,Reserve,10000056,2008/02/28
SHRM,SHOWROOM,Showroom,10000057,2008/02/28
SIGN,SIGN,Sign,10000058,2008/02/28
STOR,STORE,Store,10000059,2008/02/28
STR,STRATA UNIT,Strata_unit,10014945,2008/05/23
SUBS,SUBSTATION,Substation,10000061,2008/02/28
TNCY,TENANCY,Tenancy,10000062,2008/02/28
TWR,TOWER,Tower,10000063,2008/02/28
VLT,VAULT,Vault,10000064,2008/02/28
WKSH,WORKSHOP,Workshop,10000065,2008/02/28
BBOX,BATHING BOX,Bathing Box,10014923,2008/05/23
BERT,BERTH,Berth,10014924,2008/05/23
BNGW,BUNGALOW,Bungalow,10014925,2008/05/23
COOL,COOLROOM,Coolroom,10014926,2008/05/23
CTYD,COURTYARD,Courtyard,10014927,2008/05/23
HELI,HELIPORT,Heliport,10014932,2008/05/23
HOST,HOSTEL,Hostel,10014933,2008/05/23
LSE,LEASE,Lease,10014934,2008/05/23
LBBY,LOBBY,Lobby,10014935,2008/05/23
LOFT,LOFT,Loft,10014936,2008/05/23
PSWY,PASSAGEWAY,Passageway,10014939,2008/05/23
RPTN,RECEPTION,Reception,10014940,2008/05/23
REST,RESTAURANT,Restaraunt,10014941,2008/05/23
SHCS,SHOWCASE,Showcase,10014943,2008/05/23
SAPT,STUDIO APARTMENT,Studio Apartment,10014944,2008/05/23
CARW,CARWASH,Carwash,10016927,2009/01/05
HNGR,HANGAR,Hanger,10029296,2010/06/25
WC,TOILET,Toilet,10029297,2010/06/25
JETY,JETTY,Jetty,10029298,2010/06/25
GATE,GATE,Gate,10066034,2011/05/17
CHAL,CHALET,Chalet,10212224,2013/12/12
