LGA_CODE,CLASS_CODE,LGA,GAZETTED_LGA_NAME,STATUS,DOI_LGA,VICGOV_REGION_CODE,DSE_REGION_CODE,UFI,UFI_CREATED,DEPI_REGION_CODE,DELWP_REGION_CODE,ABS_LGA_CODE,ROAD_SLOPE_FACTOR
"366",RC,SWAN HILL,SWAN HILL RURAL CITY,ACTIVE,SWAN HILL,"15","6",10220869,2022/10/18,"6","6","26610",-99.999
"367",S,TOWONG,TOWONG SHIRE,ACTIVE,TOWONG,"14","4",10220870,2022/10/18,"4","4","26670",-99.999
"368",RC,WANGARATTA,WANGARATTA RURAL CITY,ACTIVE,WANGARATTA,"14","4",10220871,2022/10/18,"4","4","26700",-99.999
"369",C,WARRNAMBOOL,WARRNAMBOOL CITY,ACTIVE,WARRNAMBOOL,"10","5",10220872,2022/10/18,"5","5","26730",-99.999
"370",S,WELLINGTON,WELLINGTON SHIRE,ACTIVE,WELLINGTON,"12","2",10220873,2022/10/18,"2","2","26810",-99.999
"371",S,WEST WIMMERA,WEST WIMMERA SHIRE,ACTIVE,WEST WIMMERA,"13","5",10220874,2022/10/18,"7","7","26890",-99.999
"372",C,WHITEHORSE,WHITEHORSE CITY,ACTIVE,WHITEHORSE,"11","3",10220875,2022/10/18,"3","3","26980",-99.999
"373",C,WHITTLESEA,WHITTLESEA CITY,ACTIVE,WHITTLESEA,"16","3",10220876,2022/10/18,"3","3","27070",-99.999
"374",RC,WODONGA,WODONGA CITY,ACTIVE,WODONGA,"14","4",10220877,2022/10/18,"4","4","27170",-99.999
"375",C,WYNDHAM,WYNDHAM CITY,ACTIVE,WYNDHAM,"16","3",10220878,2022/10/18,"3","3","27260",-99.999
"376",C,YARRA,YARRA CITY,ACTIVE,YARRA,"16","3",10220879,2022/10/18,"3","3","27350",-99.999
"377",S,YARRA RANGES,YARRA RANGES SHIRE,ACTIVE,YARRA RANGES,"11","3",10220880,2022/10/18,"3","3","27450",-99.999
"378",S,YARRIAMBIACK,YARRIAMBIACK SHIRE,ACTIVE,YARRIAMBIACK,"13","5",10220881,2022/10/18,"7","7","27630",-99.999
"379",UI,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),ACTIVE,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNIN,"12","3",10220882,2022/10/18,"3","3","29399",-99.999
"380",UI,UNINCORPORATED,UNINCORPORATED,ACTIVE,UNINCORPORATED,"99","9",10220883,2022/10/18,"9","9","29399",-99.999
"381",RC,BENALLA,BENALLA RURAL CITY,ACTIVE,BENALLA,"14","4",10220884,2022/10/18,"4","4","21010",-99.999
"382",S,MANSFIELD,MANSFIELD SHIRE,ACTIVE,MANSFIELD,"14","4",10220885,2022/10/18,"4","4","24250",-99.999
"383",UI,MOUNT BAW BAW ALPINE RESORT (UNINC),MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED),ACTIVE,MOUNT BAW BAW ALPINE RESORT (UNINC),"12","2",10220886,2022/10/18,"2","2","29399",-99.999
"384",UI,MOUNT BULLER ALPINE RESORT (UNINC),MOUNT BULLER ALPINE RESORT (UNINCORPORATED),ACTIVE,MOUNT BULLER ALPINE RESORT (UNINC),"14","4",10220887,2022/10/18,"4","4","29399",-99.999
"385",UI,LAKE MOUNTAIN ALPINE RESORT (UNINC),LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED),ACTIVE,LAKE MOUNTAIN ALPINE RESORT (UNINC),"14","4",10220888,2022/10/18,"4","4","29399",-99.999
"386",UI,FALLS CREEK ALPINE RESORT (UNINC),FALLS CREEK ALPINE RESORT (UNINCORPORATED),ACTIVE,FALLS CREEK ALPINE RESORT (UNINC),"14","4",10220889,2022/10/18,"4","4","29399",-99.999
"387",UI,MOUNT STIRLING ALPINE RESORT (UNINC),MOUNT STIRLING ALPINE RESORT (UNINCORPORATED),ACTIVE,MOUNT STIRLING ALPINE RESORT (UNINC),"14","4",10220890,2022/10/18,"4","4","29399",-99.999
"388",UI,MOUNT HOTHAM ALPINE RESORT (UNINC),MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),ACTIVE,MOUNT HOTHAM ALPINE RESORT (UNINC),"14","4",10220891,2022/10/18,"4","4","29399",-99.999
"999",UI,UNKNOWN,UNKNOWN,OBSOLETE,UNKNOWN,"99","9",10220892,2022/10/18,"9","9",,-99.999
"389",UI,GABO ISLAND (UNINC),GABO ISLAND (UNINCORPORATED),ACTIVE,GABO ISLAND (UNINCORPORATED),"12","2",10220893,2022/10/18,"2","2","29399",-99.999
"317",S,DELATITE,DELATITE SHIRE,OBSOLETE,DELATITE,"99","9",10220894,2022/10/18,"9","9",,-99.999
