PARISH_CODE,PARISH,UFI,UFI_CREATED
2001,ACHERON,       10007467,2008/02/28
2002,ADDINGTON,       10007468,2008/02/28
2003,ADJIE,       10007469,2008/02/28
2004,ADZAR,       10007470,2008/02/28
2005,AIRE,       10007471,2008/02/28
2006,ALBACUTYA,       10007472,2008/02/28
2007,ALBERTON EAST,       10007473,2008/02/28
2008,ALBERTON WEST,       10007474,2008/02/28
2009,ALEXANDRA,       10007475,2008/02/28
2010,ALLAMBEE,       10007476,2008/02/28
2011,ALLAMBEE EAST,       10007477,2008/02/28
2012,AMHERST,       10007478,2008/02/28
2013,AMPHITHEATRE,       10007479,2008/02/28
2014,ANAKIE,       10007480,2008/02/28
2015,ANGAHOOK,       10007481,2008/02/28
2016,ANGORA,       10007482,2008/02/28
2017,ANNUELLO,       10007483,2008/02/28
2018,ANNYA,       10007484,2008/02/28
2019,ARAPILES,       10007485,2008/02/28
2020,ARARAT,       10007486,2008/02/28
2021,ARBUCKLE,       10007487,2008/02/28
2022,ARCADIA,       10007488,2008/02/28
2023,ARCHDALE,       10007489,2008/02/28
2024,ARDNO,       10007490,2008/02/28
2025,ARDONACHIE,       10007491,2008/02/28
2026,AREEGRA,       10007492,2008/02/28
2027,ARGYLE,       10007493,2008/02/28
2028,ASCOT,       10007494,2008/02/28
2029,ASHENS,       10007495,2008/02/28
2030,AUDLEY,       10007496,2008/02/28
2031,AVENEL,       10007497,2008/02/28
2032,AVOCA,       10007498,2008/02/28
2033,AWONGA,       10007499,2008/02/28
2034,AXEDALE,       10007500,2008/02/28
2035,BAANGAL,       10007501,2008/02/28
2036,BAAWANG,       10007502,2008/02/28
2037,BABATCHIO,       10007503,2008/02/28
2038,BAEL BAEL,       10007504,2008/02/28
2039,BAGSHOT,       10007505,2008/02/28
2040,BAHGALLAH,       10007506,2008/02/28
2041,BAILIESTON,       10007507,2008/02/28
2042,BAIRNSDALE,       10007508,2008/02/28
2043,BALLAN,       10007509,2008/02/28
2044,BALLANGEICH,       10007510,2008/02/28
2045,BALLAPUR,       10007511,2008/02/28
2046,BALLARAT,       10007512,2008/02/28
2047,BALLARK,       10007513,2008/02/28
2048,BALLENDELLA,       10007514,2008/02/28
2049,BALLIANG,       10007515,2008/02/28
2050,BALLOONG,       10007516,2008/02/28
2051,BALLYROGAN,       10007517,2008/02/28
2052,BALMATTUM,       10007518,2008/02/28
2053,BALMORAL,       10007519,2008/02/28
2054,BALNARRING,       10007520,2008/02/28
2055,BALROOK,       10007521,2008/02/28
2056,BALROOTAN,       10007522,2008/02/28
2057,BAMAWM,       10007523,2008/02/28
2058,BAMBADIN,       10007524,2008/02/28
2059,BAMBRA,       10007525,2008/02/28
2060,BAMGANIE,       10007526,2008/02/28
2061,BANANGAL,       10007527,2008/02/28
2062,BANGERANG,       10007528,2008/02/28
2063,BANU BONYIT,       10007529,2008/02/28
2064,BANYARMBITE,       10007530,2008/02/28
2065,BANYENA,       10007531,2008/02/28
2066,BANYENONG,       10007532,2008/02/28
2067,BARAMBOGIE,       10007533,2008/02/28
2068,BARANDUDA,       10007534,2008/02/28
2069,BARCHAN,       10007535,2008/02/28
2070,BARGA,       10007536,2008/02/28
2071,BARING,       10007537,2008/02/28
2072,BARING NORTH,       10007538,2008/02/28
2073,BARINGHUP,       10007539,2008/02/28
2074,BARKLY,       10007540,2008/02/28
2075,BARMAH,       10007541,2008/02/28
2076,BARNAWARTHA NORTH,       10007542,2008/02/28
2077,BARNAWARTHA SOUTH,       10007543,2008/02/28
2078,BARNOOLUT,       10007544,2008/02/28
2079,BARONGAROOK,       10007545,2008/02/28
2080,BARP,       10007546,2008/02/28
2081,BARRAKEE,       10007547,2008/02/28
2082,BARRAMUNGA,       10007548,2008/02/28
2083,BARRARBOOL,       10007549,2008/02/28
2084,BARROWORN,       10007550,2008/02/28
2085,BARWIDGEE,       10007551,2008/02/28
2086,BARWITE,       10007552,2008/02/28
2087,BARWO,       10007553,2008/02/28
