PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
     1,5001,ABERFELDY (T),TOWNSHIP OF ABERFELDY,       10009472,2008/02/28
     2,2001,ACHERON,PARISH OF ACHERON,       10009473,2008/02/28
     3,5002,ACHERON (T),TOWNSHIP OF ACHERON,       10009474,2008/02/28
     4,2002,ADDINGTON,PARISH OF ADDINGTON,       10009475,2008/02/28
     5,2003,ADJIE,PARISH OF ADJIE,       10009476,2008/02/28
     6,2004,ADZAR,PARISH OF ADZAR,       10009477,2008/02/28
     7,5003,AILSA (T),TOWNSHIP OF AILSA,       10009478,2008/02/28
     8,2005,AIRE,PARISH OF AIRE,       10009479,2008/02/28
     9,2006,ALBACUTYA,PARISH OF ALBACUTYA,       10009480,2008/02/28
    10,5004,ALBACUTYA (T),TOWNSHIP OF ALBACUTYA,       10009481,2008/02/28
    11,5005,ALBERTON (T),TOWNSHIP OF ALBERTON,       10009482,2008/02/28
    12,2007,ALBERTON EAST,PARISH OF ALBERTON EAST,       10009483,2008/02/28
    13,2008,ALBERTON WEST,PARISH OF ALBERTON WEST,       10009484,2008/02/28
    14,2007A,ALBERTON:AT (ALBERTON EAST),"AT ALBERTON, PARISH OF ALBERTON EAST",       10009485,2008/02/28
    15,2009,ALEXANDRA,PARISH OF ALEXANDRA,       10009486,2008/02/28
    16,5006,ALEXANDRA (T),TOWNSHIP OF ALEXANDRA,       10009487,2008/02/28
    17,2010,ALLAMBEE,PARISH OF ALLAMBEE,       10009488,2008/02/28
    18,2011,ALLAMBEE EAST,PARISH OF ALLAMBEE EAST,       10009489,2008/02/28
    19,5007,ALLANS FLAT (T),TOWNSHIP OF ALLANS FLAT,       10009490,2008/02/28
    20,5008,ALMA (T),TOWNSHIP OF ALMA,       10009491,2008/02/28
    21,2012,AMHERST,PARISH OF AMHERST,       10009492,2008/02/28
    22,5009,AMHERST (T),TOWNSHIP OF AMHERST,       10009493,2008/02/28
    23,2013,AMPHITHEATRE,PARISH OF AMPHITHEATRE,       10009494,2008/02/28
    24,5010,AMPHITHEATRE (T),TOWNSHIP OF AMPHITHEATRE,       10009495,2008/02/28
    25,2014,ANAKIE,PARISH OF ANAKIE,       10009496,2008/02/28
    26,2015,ANGAHOOK,PARISH OF ANGAHOOK,       10009497,2008/02/28
    27,5011,ANGLESEA (T),TOWNSHIP OF ANGLESEA,       10009498,2008/02/28
    28,2016,ANGORA,PARISH OF ANGORA,       10009499,2008/02/28
    29,2017,ANNUELLO,PARISH OF ANNUELLO,       10009500,2008/02/28
    30,5012,ANNUELLO (T),TOWNSHIP OF ANNUELLO,       10009501,2008/02/28
    31,2018,ANNYA,PARISH OF ANNYA,       10009502,2008/02/28
    32,5013,ANTWERP (T),TOWNSHIP OF ANTWERP,       10009503,2008/02/28
    33,5014,APOLLO BAY (T),TOWNSHIP OF APOLLO BAY,       10009504,2008/02/28
    34,5015,APSLEY (T),TOWNSHIP OF APSLEY,       10009505,2008/02/28
    35,2019,ARAPILES,PARISH OF ARAPILES,       10009506,2008/02/28
    36,5016,ARAPILES (T),TOWNSHIP OF ARAPILES,       10009507,2008/02/28
    37,2020,ARARAT,PARISH OF ARARAT,       10009508,2008/02/28
    38,5017,ARARAT (T),TOWNSHIP OF ARARAT,       10009509,2008/02/28
    39,2021,ARBUCKLE,PARISH OF ARBUCKLE,       10009510,2008/02/28
    40,2022,ARCADIA,PARISH OF ARCADIA,       10009511,2008/02/28
    41,2023,ARCHDALE,PARISH OF ARCHDALE,       10009512,2008/02/28
    42,5018,ARCHDALE (T),TOWNSHIP OF ARCHDALE,       10009513,2008/02/28
    43,2024,ARDNO,PARISH OF ARDNO,       10009514,2008/02/28
    44,2025,ARDONACHIE,PARISH OF ARDONACHIE,       10009515,2008/02/28
    45,2026,AREEGRA,PARISH OF AREEGRA,       10009516,2008/02/28
    46,2027,ARGYLE,PARISH OF ARGYLE,       10009517,2008/02/28
    47,5019,ARNOLD (T),TOWNSHIP OF ARNOLD,       10009518,2008/02/28
    48,2028,ASCOT,PARISH OF ASCOT,       10009519,2008/02/28
    49,5020,ASCOT (T),TOWNSHIP OF ASCOT,       10009520,2008/02/28
    50,2029,ASHENS,PARISH OF ASHENS,       10009521,2008/02/28
    51,2007A,AT ALBERTON (ALBERTON EAST),"AT ALBERTON, PARISH OF ALBERTON EAST",       10009522,2008/02/28
    52,3473A,AT BENDIGO (SANDHURST),"AT BENDIGO, PARISH OF SANDHURST",       10009523,2008/02/28
    53,3337A,AT BOX HILL (NUNAWADING),"AT BOX HILL, PARISH OF NUNAWADING",       10009524,2008/02/28
    54,2796B,AT CARLTON (JIKA JIKA),"AT CARLTON, PARISH OF JIKA JIKA",       10009525,2008/02/28
    55,3416A,AT CAULFIELD (PRAHRAN),"AT CAULFIELD, PARISH OF PRAHRAN",       10009526,2008/02/28
    56,2796C,AT CLIFTON HILL (JIKA JIKA),"AT CLIFTON HILL, PARISH OF JIKA JIKA",       10009527,2008/02/28
    57,3389A,AT COWES (PHILLIP ISLAND),"AT COWES, PARISH OF PHILLIP ISLAND",       10009528,2008/02/28
    59,3473B,AT EAGLEHAWK (SANDHURST),"AT EAGLEHAWK, PARISH OF SANDHURST",       10009530,2008/02/28
    60,5514A,AT EAST MELBOURNE (MELBOURNE),"AT EAST MELBOURNE, TOWNSHIP OF MELBOURNE",       10009531,2008/02/28
    61,3416D,AT ELSTERNWICK (PRAHRAN),"AT ELSTERNWICK, PARISH OF PRAHRAN",       10009532,2008/02/28
    62,3084A,AT ELWOOD (MELBOURNE SOUTH),"AT ELWOOD, PARISH OF MELBOURNE SOUTH",       10009533,2008/02/28
    64,2541A,AT ESSENDON (DOUTTA GALLA),"AT ESSENDON, PARISH OF DOUTTA GALLA",       10009535,2008/02/28
    65,3416E,AT GARDINER (PRAHRAN),"AT GARDINER, PARISH OF PRAHRAN",       10009536,2008/02/28
    66,2541C,AT HAWSTEAD (DOUTTA GALLA),"AT HAWSTEAD, PARISH OF DOUTTA GALLA",       10009537,2008/02/28
    67,2209A,AT HAWTHORN (BOROONDARA),"AT HAWTHORN, PARISH OF BOROONDARA",       10009538,2008/02/28
    69,2796E,AT NORTH FITZROY (JIKA JIKA),"AT NORTH FITZROY, PARISH OF JIKA JIKA",       10009540,2008/02/28
    70,2796F,AT NORTH MELBOURNE (JIKA JIKA),"AT NORTH MELBOURNE, PARISH OF JIKA JIKA",       10009541,2008/02/28
    71,2796G,AT PARKVILLE (JIKA JIKA),"AT PARKVILLE, PARISH OF JIKA JIKA",       10009542,2008/02/28
    72,3380A,AT QUEENSCLIFF (PAYWIT),"AT QUEENSCLIFF, PARISH OF PAYWIT",       10009543,2008/02/28
    74,3102A,AT RED CLIFFS (MILDURA),"AT RED CLIFFS, PARISH OF MILDURA",       10009545,2008/02/28
    75,3730A,AT ROSEBUD (WANNAEUE),"AT ROSEBUD, PARISH OF WANNAEUE",       10009546,2008/02/28
    76,2796J,AT ROYAL PARK (JIKA JIKA),"AT ROYAL PARK, PARISH OF JIKA JIKA",       10009547,2008/02/28
    77,3084C,AT SAINT KILDA (MELBOURNE SOUTH),"AT SAINT KILDA, PARISH OF MELBOURNE SOUTH",       10009548,2008/02/28
    78,2287A,AT SCOTCHMANS (BUNINYONG),"AT SCOTCHMANS, PARISH OF BUNINYONG",       10009549,2008/02/28
    79,3084E,AT SOUTH YARRA (MELBOURNE SOUTH),"AT SOUTH YARRA, PARISH OF MELBOURNE SOUTH",       10009550,2008/02/28
    81,5514B,AT WEST MELBOURNE (MELBOURNE),"AT WEST MELBOURNE, TOWNSHIP OF MELBOURNE",       10009552,2008/02/28
    82,2478D,AT YARRAVILLE (CUT-PAW-PAW),"AT YARRAVILLE, PARISH OF CUT-PAW-PAW",       10009553,2008/02/28
    83,5021,AUBREY (T),TOWNSHIP OF AUBREY,       10009554,2008/02/28
    84,2030,AUDLEY,PARISH OF AUDLEY,       10009555,2008/02/28
    85,2031,AVENEL,PARISH OF AVENEL,       10009556,2008/02/28
    87,2032,AVOCA,PARISH OF AVOCA,       10009558,2008/02/28
    88,5023,AVOCA (T),TOWNSHIP OF AVOCA,       10009559,2008/02/28
    90,2034,AXEDALE,PARISH OF AXEDALE,       10009561,2008/02/28
    91,5024,AXEDALE (T),TOWNSHIP OF AXEDALE,       10009562,2008/02/28
    93,2036,BAAWANG,PARISH OF BAAWANG,       10009564,2008/02/28
    94,2037,BABATCHIO,PARISH OF BABATCHIO,       10009565,2008/02/28
