TOWNSHIP_CODE,TOWNSHIP,STATUS,UFI,UFI_CREATED
5001,ABERFELDY,ACTIVE,       10012899,2008/02/28
5002,ACHERON,ACTIVE,       10012900,2008/02/28
5003,AILSA,ACTIVE,       10012901,2008/02/28
5004,ALBACUTYA,ACTIVE,       10012902,2008/02/28
5005,ALBERTON,ACTIVE,       10012903,2008/02/28
5006,ALEXANDRA,ACTIVE,       10012904,2008/02/28
5007,ALLANS FLAT,ACTIVE,       10012905,2008/02/28
5008,ALMA,ACTIVE,       10012906,2008/02/28
5009,AMHERST,ACTIVE,       10012907,2008/02/28
5010,AMPHITHEATRE,ACTIVE,       10012908,2008/02/28
5011,ANGLESEA,ACTIVE,       10012909,2008/02/28
5012,ANNUELLO,ACTIVE,       10012910,2008/02/28
5013,ANTWERP,ACTIVE,       10012911,2008/02/28
5014,APOLLO BAY,ACTIVE,       10012912,2008/02/28
5015,APSLEY,ACTIVE,       10012913,2008/02/28
5016,ARAPILES,ACTIVE,       10012914,2008/02/28
5017,ARARAT,ACTIVE,       10012915,2008/02/28
5018,ARCHDALE,ACTIVE,       10012916,2008/02/28
5019,ARNOLD,ACTIVE,       10012917,2008/02/28
5020,ASCOT,ACTIVE,       10012918,2008/02/28
5021,AUBREY,ACTIVE,       10012919,2008/02/28
5022,AVENEL,ACTIVE,       10012920,2008/02/28
5023,AVOCA,ACTIVE,       10012921,2008/02/28
5024,AXEDALE,ACTIVE,       10012922,2008/02/28
5025,BACCHUS MARSH,ACTIVE,       10012923,2008/02/28
5026,BADDAGINNIE,ACTIVE,       10012924,2008/02/28
5027,BAIRNSDALE,ACTIVE,       10012925,2008/02/28
5028,BAKER,ACTIVE,       10012926,2008/02/28
5029,BALLAN,ACTIVE,       10012927,2008/02/28
5030,BALLARAT,ACTIVE,       10012928,2008/02/28
5031,BALLARAT EAST,ACTIVE,       10012929,2008/02/28
5032,BALLARAT NORTH,ACTIVE,       10012930,2008/02/28
5033,BALLIANG,ACTIVE,       10012931,2008/02/28
5034,BALLYROGAN,ACTIVE,       10012932,2008/02/28
5035,BALMORAL,ACTIVE,       10012933,2008/02/28
5036,BALNARRING BEACH,ACTIVE,       10012934,2008/02/28
5037,BAMBILL,ACTIVE,       10012935,2008/02/28
5038,BANGERANG,ACTIVE,       10012936,2008/02/28
5039,BANNERTON,ACTIVE,       10012937,2008/02/28
5040,BANNOCKBURN,ACTIVE,       10012938,2008/02/28
5041,BANYENA,ACTIVE,       10012939,2008/02/28
