TABLE_COLUMN_ID,TABLE_OWNER,TABLE_NAME,COLUMN_NAME,COLUMN_NAME_10,UFI,UFI_CREATED
"47549",_DEFAULT,_DEFAULT,STAFF_INITIALS,STFFINITLS,"52363",2013/03/14
"47550",_DEFAULT,_DEFAULT,STAFF_PHONE_NO,STFFPHNENO,"52364",2013/03/14
"47551",_DEFAULT,_DEFAULT,STAFF_SURNAME,STFFSURNAM,"52365",2013/03/14
"47553",_DEFAULT,_DEFAULT,WELL_NUMBER,WELLNUMBER,"52367",2013/03/14
"47554",_DEFAULT,_DEFAULT,AQUIFER_LITHOLOGY,AQUILITHGY,"52368",2013/03/14
"47555",_DEFAULT,_DEFAULT,AVAIL_INT_ML,AVAILINTML,"52369",2013/03/14
"47557",_DEFAULT,_DEFAULT,AVAIL_UP_ML,AVAILUPML,"52371",2013/03/14
"47558",_DEFAULT,_DEFAULT,BE_USE_INT_ML,BEUSEINTML,"52372",2013/03/14
"47559",_DEFAULT,_DEFAULT,BE_USE_UP_ML,BEUSEUPML,"52373",2013/03/14
"47562",_DEFAULT,_DEFAULT,CASING_DIAMETER,CASDIAMETR,"52375",2013/03/14
"47563",_DEFAULT,_DEFAULT,DATE_COMPLETED,DATECOMPLT,"52376",2013/03/14
"47564",_DEFAULT,_DEFAULT,ELEVATION_DATE,ELEVTDATE,"52377",2013/03/14
"47565",_DEFAULT,_DEFAULT,FD_IMP_UP_MEANA,FDIMPUPMNA,"52378",2013/03/14
"47567",_DEFAULT,_DEFAULT,FD_IMP_UP_MEANW,FDIMPUPMNW,"52380",2013/03/14
"47568",_DEFAULT,_DEFAULT,FD_IMP_UP_MEDA,FDIMPUPMDA,"52381",2013/03/14
"47569",_DEFAULT,_DEFAULT,FD_IMP_UP_MEDS,FDIMPUPMDS,"52382",2013/03/14
"47571",_DEFAULT,_DEFAULT,FD_IMP_UP_Q10A,FDIMPQA10A,"52384",2013/03/14
"47572",_DEFAULT,_DEFAULT,FD_IMP_UP_Q10S,FDIMPUQ10S,"52385",2013/03/14
"47573",_DEFAULT,_DEFAULT,FD_IMP_UP_Q10W,FDIMPUQ10W,"52386",2013/03/14
"47575",_DEFAULT,_DEFAULT,FD_IMP_UP_Q90S,FDIMPUQ90S,"52388",2013/03/14
"47576",_DEFAULT,_DEFAULT,FD_IMP_UP_Q90W,FDIMPUQ90W,"52389",2013/03/14
"47577",_DEFAULT,_DEFAULT,FD_USE_INT_ML,FDUSEINTML,"52390",2013/03/14
"47578",_DEFAULT,_DEFAULT,FD_USE_UP_ML,FDUSEUPML,"52391",2013/03/14
"47580",_DEFAULT,_DEFAULT,FD_VOL_UP_ML,FDVOLUPML,"52393",2013/03/14
"47581",_DEFAULT,_DEFAULT,FORMATION_MONITORED,FORMATMONT,"52394",2013/03/14
"47582",_DEFAULT,_DEFAULT,GROUNDWATER_SALINITY,GRNDWTRSAL,"52395",2013/03/14
"47583",_DEFAULT,_DEFAULT,LF_GAUGE1_TEST,LFGUGE1TST,"52396",2013/03/14
"47584",_DEFAULT,_DEFAULT,LITHOLOGICAL_DATA_AVAILABLE,LTHDATAALB,"52397",2013/03/14
"47585",_DEFAULT,_DEFAULT,LOCATION_DATE,LOCATNDATE,"52398",2013/03/14
"47586",_DEFAULT,_DEFAULT,LOCATION_DESC,LOCATNDESC,"52399",2013/03/14
"47587",_DEFAULT,_DEFAULT,LOWER_INTERVAL,LOWERINTVL,"52400",2013/03/14
"47588",_DEFAULT,_DEFAULT,MGA_EASTING,MGAEASTING,"52401",2013/03/14
"47589",_DEFAULT,_DEFAULT,MGA_NORTHING,MGANRTHING,"52402",2013/03/14
"47590",_DEFAULT,_DEFAULT,MONITORING_FREQUENCY,MONTRNGFEQ,"52403",2013/03/14
"47591",_DEFAULT,_DEFAULT,MONITORING_STATUS,MONTRNSTAT,"52404",2013/03/14
"47592",_DEFAULT,_DEFAULT,OS_DAMS_USE_INT_ML,OSDAMINTML,"52405",2013/03/14
"47593",_DEFAULT,_DEFAULT,OS_DAMS_USE_UP_ML,OSDAMSUPML,"52406",2013/03/14
"56031",_DEFAULT,_DEFAULT,BLG_UNIT_TYPE_ABBREVIATION,BLGUNTTPAB,"52407",2013/03/14
